Sub-Category,Total_Sales,Avg_Sales,Sales_Volatility,Transaction_Count,Cluster,PC1,PC2
Accessories,164186.7,217.17817460317463,337.7238003025529,756,1,-0.5750711525673367,0.4643463282308191
Appliances,104618.403,227.92680392156865,378.006735342579,459,2,-0.36688980537830934,-0.4431455871164333
Art,26705.41,34.019630573248406,60.30175206385381,785,1,-1.271306140086696,-0.6439220636885966
Binders,200028.785,134.0675502680965,568.0999701534901,1492,1,-1.140130307286018,1.8211517772550712
Bookcases,113813.1987,503.5982243362832,641.4192798221117,226,2,0.36276644175252676,-0.6540689541609102
Chairs,322822.73099999997,531.8331647446457,551.1802962314553,607,3,0.3767275384043764,1.5841708460451502
Copiers,146248.094,2215.8802121212125,3216.185498860817,66,0,4.271436831850615,-0.2471004400142253
Envelopes,16128.046,65.03244354838709,85.17069055053564,248,2,-0.7239524970917393,-1.5016843837334417
Fasteners,3001.96,14.02785046728972,12.466863518420524,214,2,-0.8243153248125473,-1.6679174431214638
Furnishings,89212.018,95.82386466165413,148.42149027755255,931,1,-1.1582998412200571,0.08554730290331607
Labels,12347.726,34.587467787114846,74.80271113497773,357,2,-0.8769003396261565,-1.3790473206549099
Machines,189238.631,1645.5533130434783,2765.102088268794,115,0,3.367878789423068,0.06762414870963714
Paper,76828.304,57.42025710014948,78.49228521860516,1338,1,-1.6659376754944824,0.5661216231290238
Phones,327782.448,374.1808767123287,494.39022758502534,876,3,-0.08455735722962948,1.989092388646826
Storage,219343.392,263.6338846153846,354.9074821808669,832,3,-0.4761922132230576,1.0270689984206152
Supplies,46420.308,252.28428260869563,938.087745586469,184,2,0.2055777802119736,-1.27739957241153
Tables,202810.628,645.8937197452229,598.5849814503799,314,3,0.5791652723734689,0.20916235156105212
